weight,age,height,size,BMI,Body_Shape
62,28,172.72,XL,20.78291354,Regular
59,36,167.64,L,20.99407321,Regular
61,34,165.1,M,22.37874298,Regular
65,27,175.26,L,21.16156301,Regular
62,45,172.72,M,20.78291354,Regular
50,27,160.02,S,19.5263681,Regular
53,65,160.02,M,20.69795019,Slim
51,33,160.02,XXS,19.91689546,Slim
54,26,167.64,M,19.21491446,Regular
53,32,165.1,S,19.44382587,Slim
63,30,170.18,XXXL,21.75321793,Regular
77,35,172.72,XXXL,25.81103778,Curvy
64,26,165.1,L,23.4793369,Regular
52,28,160.02,M,20.30742283,Regular
65,33,165.1,L,23.84620154,Regular
63,30,167.64,L,22.41740021,Regular
54,21,167.64,XXS,19.21491446,Regular
63,27,172.72,M,21.11812182,Regular
63,30,167.64,M,22.41740021,Regular
54,20,167.64,S,19.21491446,Regular
55,32,154.94,S,22.91055375,Regular
55,37,160.02,M,21.47900491,Regular
55,50,165.1,S,20.17755515,Regular
50,43,160.02,M,19.5263681,Slim
74,29,177.8,XL,23.40821008,Regular
64,32,160.02,XL,24.99375117,Regular
58,29,167.64,XXS,20.63824146,Regular
54,47,165.1,M,19.81069051,Slim
58,31,154.94,XL,24.16022032,Regular
65,27,172.72,L,21.78853839,Regular
47,43,157.48,S,18.95165081,Slim
61,27,165.1,M,22.37874298,Regular
58,29,172.72,M,19.44208041,Regular
86,48,172.72,XXXL,28.82791233,Curvy
68,36,162.56,XL,25.73247334,Curvy
65,27,170.18,L,22.44379628,Regular
65,34,170.18,L,22.44379628,Regular
54,40,157.48,M,21.7742371,Regular
52,45,154.94,M,21.66088718,Regular
52,30,170.18,S,17.95503702,Slim
58,52,162.56,XXXL,21.94828608,Regular
78,37,175.26,XXXL,25.39387561,Curvy
61,34,172.72,L,20.44770526,Regular
49,24,167.64,S,17.43575572,Slim
61,28,162.56,M,23.08354226,Regular
64,34,162.56,XXXL,24.21879844,Regular
63,25,167.64,S,22.41740021,Regular
56,32,157.48,M,22.58069032,Regular
50,27,170.18,S,17.26445868,Slim
77,29,172.72,XXXL,25.81103778,Curvy
58,32,165.1,L,21.27814907,Regular
65,33,165.1,L,23.84620154,Regular
61,33,167.64,XL,21.70573671,Regular
56,36,175.26,M,18.23150044,Slim
81,27,165.1,XXXL,29.71603576,Curvy
49,30,162.56,M,18.54251755,Regular
58,29,162.56,L,21.94828608,Regular
72,28,162.56,L,27.24614824,Curvy
63,28,172.72,M,21.11812182,Regular
58,33,157.48,XL,23.38714355,Regular
65,29,165.1,XL,23.84620154,Regular
60,27,167.64,XL,21.34990496,Regular
68,28,167.64,L,24.19655895,Regular
70,32,175.26,XL,22.78937555,Regular
63,36,157.48,XL,25.40327661,Curvy
58,36,165.1,S,21.27814907,Regular
79,49,167.64,XXXL,28.1107082,Curvy
49,40,157.48,M,19.75810403,Slim
56,22,157.48,S,22.58069032,Regular
59,35,175.26,S,19.20818796,Slim
50,32,154.94,XXS,20.82777614,Regular
53,33,162.56,S,20.05619246,Regular
56,32,165.1,M,20.54441979,Regular
113,27,167.64,XXXL,40.20898767,Curvy
88,30,162.56,XXXL,33.30084785,Curvy
68,42,165.1,XL,24.94679546,Regular
74,53,157.48,XXXL,29.83876935,Curvy
104,34,154.94,XXXL,43.32177436,Curvy
58,33,162.56,S,21.94828608,Regular
61,30,172.72,M,20.44770526,Regular
61,69,154.94,XXXL,25.40988689,Regular
54,34,160.02,S,21.08847755,Regular
65,36,167.64,L,23.12906371,Regular
70,35,167.64,XXXL,24.90822245,Regular
54,31,162.56,M,20.43461118,Regular
52,31,172.72,XXS,17.43083071,Slim
63,33,167.64,L,22.41740021,Regular
70,23,147.32,XXXL,32.25333442,Curvy
79,32,170.18,XXXL,27.27784471,Curvy
49,17,167.64,S,17.43575572,Slim
57,37,157.48,M,22.98391694,Regular
